"CODIGO","DESCRIPCION","ZONA.FISCAL","PAIS","TIPOVIA","DIRECCION","COLONIA","DELEGACION","ESTADO","NCOLONIA","LOCALIDAD",
"11404","JEREZ DE LA FRONTERA","","","","","","","","","",
"41350","SEVILLA","","","","","","","","","",
"28609","SEVILLA LA NUEVA (MADRID)","","","","","","","","","",
"82084","BARCELONA","","","","","","","","","",
"11590","MESAS DE ASTA","","","","","","","","","",
"08025","BARCELONA","","","","","","","","","",
"18007","GRANADA","","","","","","","","","",
"15155","FISTERRA","","","","","","","","","",
"11500 ","PTO STA MARIA","","","","","","","","","",
"28082","POZUELO DE ALARCON ","","","","","","","","","",
"41009","SEVILLA","","","","","","","","","",
"14008","JEREZ DE LA FRA","","","","","","","","","",
"08304","MATARO BARCELONA","","","","","","","","","",
"41102","CORDOBA","","","","","","","","","",
"41908","SEVILLA","","","","","","","","","",
"38436","TENERIFE","","","","","","","","","",
"42001","SORIA","","","","","","","","","",
"15000","11500 EL PUERTO DE SANTA MARIA","","","","","","","","","",
"36390","OIA (PONTEVEDRA)","","","","","","","","","",
"28020","MADRID","","","","","","","","","",
"10195","CACERES","","","","","","","","","",
"11001","CADIZ","","","","","","","","","",
"91570","FRANCE","","","","","","","","","",
"06010","BADAJOZ","","","","","","","","","",
"18131","VENTAS DE HUELMA (GRANADA)","","","","","","","","","",
"28919","MADRID","","","","","","","","","",
"33910","TUDELA VEGUIN (OVIEDO)","","","","","","","","","",
"11187","MADRID","","","","","","","","","",
"34003","34003-PALENCIA","","","","","","","","","",
"29012","MALAGA","","","","","","","","","",
"04150","CABO DE GATA (ALICANTE)","","","","","","","","","",
"46930","QUART DE POBLET (VALENCIA)","","","","","","","","","",
"03530","LA NUCIA (ALICANTE)","","","","","","","","","",
"23680","JAEN","","","","","","","","","",
"15124","A CORU¥A","","","","","","","","","",
"75016","PARIS","","","","","","","","","",
"48015","BILBAO","","","","","","","","","",
"80-294","GDANSK","","","","","","","","","",
"08800","VILANOVA Y LA GERTRU","","","","","","","","","",
"004","SEVILLA","","","","","","","","","",
"41071","SEVILLA","","","","","","","","","",
"15403","FERROL (CORU¥A)","","","","","","","","","",
"07560","CALA MILLOR (MALLORCA)","","","","","","","","","",
"21200","ARACENA","","","","","","","","","",
"28330","SAN MARTIN DE LA VEGA (CIUDAD REAL)","","","","","","","","","",
"30562","CEUTI","","","","","","","","","",
"41970","SEVILLA( SANTIPONCE)","","","","","","","","","",
"08459","S. ANTONT VILLAMAJOR","","","","","","","","","",
"49007","ZAMORA","","","","","","","","","",
"83200","TOULON","","","","","","","","","",
"11311","PUEBLO NUEVO GUADIARO","","","","","","","","","",
"26005","LOGRO¥O","","","","","","","","","",
"13140","MAIRAMAS FRANCIA","","","","","","","","","",
"28702","MADRID","","","","","","","","","",
"33011","LA CORREDORIA DE OVIEDO  (ASTURIAS)","","","","","","","","","",
"18100","ARMILLA","","","","","","","","","",
"06196","ALDEA RETAMAR","","","","","","","","","",
"09110","CASTRO JERIZ","","","","","","","","","",
"07250","VILAFRANCA DE BONAY","","","","","","","","","",
"05297","PALACIOS DE GODA","","","","","","","","","",
"02600","VILLARROBLEDO ","","","","","","","","","",
"36204","VIGO","","","","","","","","","",
"11312","TORREGUADIARO ","","","","","","","","","",
"36980","O GROVE","","","","","","","","","",
"11405","JEREZ DE LA FRONTERA","","","","","","","","","",
"93400","ST OUEN","","","","","","","","","",
"3000","MURCIA","","","","","","","","","",
"14350","CERROMURIANO(CORDOBA)","","","","","","","","","",
"36546","SILLEDA PONTEVEDRA","","","","","","","","","",
"11591","GUALDACACIN","","","","","","","","","",
"92160","ANTONY","","","","","","","","","",
"18008","GRANADA","","","","","","","","","",
"13730","SANTA CUZ DE MUDELA","","","","","","","","","",
"28703","SAN SEBASTIAN DE LOS REYES","","","","","","","","","",
"28083","FUNLABRADA","","","","","","","","","",
"1153034004","ROTA","","","","","","","","","",
"18194","CULLAR VEGA (GRANADA)","","","","","","","","","",
"41010","SEVILLA","","","","","","","","","",
"29602","MALAGA","","","","","","","","","",
"04740","ROQUETAS DE MAR","","","","","","","","","",
"7030","MONS HT","","","","","","","","","",
"11250","ALGECIRASDE","","","","","","","","","",
"46900","TORRENTE","","","","","","","","","",
"41909","SALTERAS","","","","","","","","","",
"39770","CANTABRIA","","","","","","","","","",
"14102","SAN FERNANDO","","","","","","","","","",
"15621","CABANAS","","","","","","","","","",
"4701-970","BRAGA","","","","","","","","","",
"38530","CANDELARIA","","","","","","","","","",
"15001","CORU¥A","","","","","","","","","",
"23650","TORREDON JIMENO","","","","","","","","","",
"410012","SEVILLA","","","","","","","","","",
"3930","HAMONT ACHEL LB","","","","","","","","","",
"33012","OVIEDO","","","","","","","","","",
"28021","MADRID","","","","","","","","","",
"41568","EL RUBIO","","","","","","","","","",
"24549","CARRACEDELO (LEON)","","","","","","","","","",
"11002","CADIZ","","","","","","","","","",
"06011","BADAJOZ","","","","","","","","","",
"41661","ALGASMITAS","","","","","","","","","",
"36143","PONTEVEDRA","","","","","","","","","",
"34004","PALENCIA","","","","","","","","","",
"29013","MALAGA","","","","","","","","","",
"28300","ARANJUEZ","","","","","","","","","",
"41940","TOMARES","","","","","","","","","",
"13420","CIUDAD REAL","","","","","","","","","",
"41320","CANTILLANA","","","","","","","","","",
"21449","LEPE","","","","","","","","","",
"11560","11560-TREBUJENA","","","","","","","","","",
"18690","ALMU¥ECAR (GRANADA)","","","","","","","","","",
"15125","MUXIA","","","","","","","","","",
"03004","ALICANTE","","","","","","","","","",
"14505","FERROL (CORU¥A)","","","","","","","","","",
"15404","EL FERROL","","","","","","","","","",
"49008","ZAMORA","","","","","","","","","",
"14009","CORDOBA","","","","","","","","","",
"29230","VILLANUEVA DE CAUCHE","","","","","","","","","",
"14660","CA¥ETE DE LAS TORRES","","","","","","","","","",
"08150","PARETS DEL VALLES","","","","","","","","","",
"30564","LORQUI (MURCIA)","","","","","","","","","",
"10600","10600 PLASENCIA","","","","","","","","","",
"33416","CORBERA","","","","","","","","","",
"11406","JEREZ DE LA FRONTERA","","","","","","","","","",
"50001","ZARAGOZA","","","","","","","","","",
"23620","MENGIBAR (JAEN)","","","","","","","","","",
"11592","NUEVA JARILLA","","","","","","","","","",
"23000","JAEN","","","","","","","","","",
"08027","BARCELONA","","","","","","","","","",
"08120","LA LLAGOSTA (BARCELONA)","","","","","","","","","",
"21760","TORRE DE LA HIGUERA","","","","","","","","","",
"07500","MANACOR (ISLAS BALEARES)","","","","","","","","","",
"41011","SEVILLA","","","","","","","","","",
"19001","GUADALAJARA","","","","","","","","","",
"06260","BADAJOZ","","","","","","","","","",
"10011","CADIZ","","","","","","","","","",
"15002","A CORU¤A","","","","","","","","","",
"11530","ROTA","","","","","","","","","",
"10910","CACERES","","","","","","","","","",
"28022","MADRID","","","","","","","","","",
