"8985GSG","JTMZA31V60D0","12/14/2009","TOYOTA","RAV4 2.2D-4D ACTIVE 4X2","DIESEL","150","2.2","5P","NEGRO","23100","19900,00","19500,00","1","EXP. JEREZ","PARTICULAR","PARTICULAR","03/14/2011","36 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD LLANTAS PINTURA METALIZADA","77209"
"8840FCY","000008840FCY","07/18/2006","OPEL","ZAFIRA CDTI 2.0 ELEGANCE","DIESEL","120","2.0","5P","GRIS","47800","8900,00","8500,00","1","EXP. PUERTO","PARTICULAR","PARTICULAR","03/25/2011","12 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD PINTURA METALIZADA","77305"
"1173BZN","W0L0TGF6935013579","09/20/2002","OPEL","ASTRA 1.6 16V 90","GASOLINA","90","1.6","5P","ROJO","43100","3000,00","2400,00","1","EXP. JEREZ","PARTICULAR","COMPRAVENTA","03/28/2011","12 MESES"," AIRBAG CONDUCTOR AIRBAG PASAJERO CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","77320"
"2976FZW","WF0HXXWPJH8B50940","02/08/2008","FORD","FIESTA 1.4 TDCI TREND","DIESEL","70","1.4","5P","LILA","35000","6990,00","6500,00","1","VENDEDOR FJ LOZANO","PARTICULAR","PARTICULAR","03/31/2011","12 MESES"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA BLUETOOTH","77384"
"3466GWH","VF3WC8HZCAT035458","05/12/2010","PEUGEOT","207 5P CONFORT 1.4 HDI 70CV","DIESEL","70","1.4","5P","GRIS ALUMINIO","29400","11900,00","11500,00","1","CHICLANA","CDVO","PARTICULAR","03/30/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","77391"
"5796GWX","VF34BRHF8AS131455","04/30/2010","PEUGEOT","308 CC SPORT 2.0 HDI 140CV","DIESEL","140","2.0","2P","GRIS SHARK","20400","23500,00","22900,00","1","EXP. PUERTO","CDVO","PARTICULAR","03/30/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR ELEVALUNAS ELECTRICO DIRECCION ASISTIDA CONTROL VELOCIDAD RADIO CD LLANTAS PINTURA METALIZADA","77393"
"2666GWS","VF34BRHF8AS129960","04/30/2010","PEUGEOT","308 CC SPORT 2.0 HDI 140CV FAP","DIESEL","140","2.0","2P","AZUL IPANEMA","18400","23500,00","22900,00","1","EXP. CADIZ","CDVO","PARTICULAR","03/30/2011","24 MESES","","77394"
"6912GWC","VF34H9HZHAS063908","04/22/2010","PEUGEOT","308 SW SPORT 1.6 HDI 110CV","DIESEL","110","1.6","5P","GRIS SHARK","21200","17500,00","16500,00","1","EXP. CADIZ","CDVO","PARTICULAR","03/30/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG LATERAL AIRBAG PASAJERO ANTINIEBLA CIERRE CENTRALIZADO CLIMATIZADOR TECHO SOLAR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD LLANTAS PINTURA METALIZADA","77395"
"2685GWS","VF34H9HZHAS104267","04/30/2010","PEUGEOT","308 SW SPORT 1.6 HDI 110CV","DIESEL","110","1.6","5P","GRIS ALUMINIO","21800","17500,00","16500,00","1","EXP. PUERTO","CDVO","PARTICULAR","03/30/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR TECHO SOLAR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD LLANTAS PINTURA METALIZADA","77396"
"3497GWV","VF34H9HZHAS129802","04/30/2010","PEUGEOT","308 SW SPORT 1.6 HDI 110CV","DIESEL","110","1.6","5P","NEGRO PERLA","19800","17500,00","16500,00","1","CHICLANA","CDVO","PARTICULAR","03/30/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR TECHO SOLAR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD LLANTAS PINTURA METALIZADA","77397"
